最优灵敏度,适配评分,适配等级,环境适配,趋势捕获率%,效率分,回撤控分,资金分,胜率分,波动分,基金代码,基金名称,所属板块,回测区间,交易天数,策略收益%,年化收益%,买入持有%,买持年化%,超额收益%,最大回撤%,买持最大回撤%,回撤起始,回撤结束,回撤持续天数,夏普比率,卡尔马比率,日均波动%,最大单日涨%,最大单日跌%,均值回归率%,买入次数,卖出次数,胜率%,月度胜率%,平均盈利,平均亏损,盈亏比,中位盈亏,P10盈亏,P90盈亏,最大单笔盈利,最大单笔亏损,最大连续亏损次数,最大连续盈利次数,平均仓位%,持仓天数占比%,空仓天数占比%,平均持仓天数,中位持仓天数,最长持仓天数,已实现盈亏,剩余现金,持仓市值,期末总值,牛市半年数,牛市策略收益%,牛市买持收益%,熊市半年数,熊市策略收益%,熊市买持收益%,震荡半年数,震荡策略收益%,震荡买持收益%,牛市天数,震荡天数,熊市天数,信号:低位建仓,信号:冷却期后加仓,信号:冷却期后建仓,信号:分批止盈,信号:反弹建仓,信号:大跌抄底,信号:常规止损(L2),信号:延迟回补(分批止盈),信号:延迟回补(强势止盈),信号:延迟回补(慢涨止盈),信号:延迟回补(扭亏分批止盈),信号:延迟回补(扭亏强势止盈),信号:延迟回补(扭亏慢涨止盈),信号:延迟回补(扭亏止盈卖出),信号:延迟回补(止盈卖出),信号:强势止盈,信号:慢涨止盈,信号:扭亏分批止盈,信号:扭亏强势止盈,信号:扭亏慢涨止盈,信号:扭亏止盈卖出,信号:极端止损(L3),信号:止盈卖出,信号:温和回调建仓,信号:灾难保底减仓,信号:灾难保护,信号:灾难保护(暴跌),信号:短期深亏安全网,信号:补仓(第1次),信号:补仓(第2次),信号:补仓(第3次),信号:趋势确认减仓,信号:趋势转弱,信号:跌势放缓建仓,信号:连跌低吸,分批止盈:次数,分批止盈:胜率%,分批止盈:总盈亏,分批止盈:平均盈亏,常规止损(L2):次数,常规止损(L2):胜率%,常规止损(L2):总盈亏,常规止损(L2):平均盈亏,强势止盈:次数,强势止盈:胜率%,强势止盈:总盈亏,强势止盈:平均盈亏,慢涨止盈:次数,慢涨止盈:胜率%,慢涨止盈:总盈亏,慢涨止盈:平均盈亏,扭亏分批止盈:次数,扭亏分批止盈:胜率%,扭亏分批止盈:总盈亏,扭亏分批止盈:平均盈亏,扭亏强势止盈:次数,扭亏强势止盈:胜率%,扭亏强势止盈:总盈亏,扭亏强势止盈:平均盈亏,扭亏慢涨止盈:次数,扭亏慢涨止盈:胜率%,扭亏慢涨止盈:总盈亏,扭亏慢涨止盈:平均盈亏,扭亏止盈卖出:次数,扭亏止盈卖出:胜率%,扭亏止盈卖出:总盈亏,扭亏止盈卖出:平均盈亏,极端止损(L3):次数,极端止损(L3):胜率%,极端止损(L3):总盈亏,极端止损(L3):平均盈亏,止盈卖出:次数,止盈卖出:胜率%,止盈卖出:总盈亏,止盈卖出:平均盈亏,灾难保底减仓:次数,灾难保底减仓:胜率%,灾难保底减仓:总盈亏,灾难保底减仓:平均盈亏,灾难保护:次数,灾难保护:胜率%,灾难保护:总盈亏,灾难保护:平均盈亏,灾难保护(暴跌):次数,灾难保护(暴跌):胜率%,灾难保护(暴跌):总盈亏,灾难保护(暴跌):平均盈亏,短期深亏安全网:次数,短期深亏安全网:胜率%,短期深亏安全网:总盈亏,短期深亏安全网:平均盈亏,趋势确认减仓:次数,趋势确认减仓:胜率%,趋势确认减仓:总盈亏,趋势确认减仓:平均盈亏,趋势转弱:次数,趋势转弱:胜率%,趋势转弱:总盈亏,趋势转弱:平均盈亏
0.8,70.7,A-极佳,震荡优,44.3,30,18.4,9.2,13.1,0,017173,创金合信季安盈3个月持有期债券C,电力,2023-04-11 ~ 2026-06-30,781,4.56,1.45,10.3,3.21,-5.74,0.18,0.38,2024-09-25,2024-10-09,34,6.49,8.12,0.022,0.42,-0.14,14.9,1,0,0.0,87.2,0,0,999,0,0,0,0,0,0,0,45.8,98.5,1.5,0.0,0,0,0.0,5500.0,4956.45,10456.45,0,0,0,0,0,0,7,4.49,9.88,0,781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.25,56.5,B-良好,全天候/牛市可/震荡优,105.4,17.5,20.0,5.4,8.6,5,017482,博时中证全指电力ETF发起式联接C,电力,2023-03-09 ~ 2026-06-30,803,12.86,3.87,12.2,3.68,0.66,6.64,16.64,2024-07-24,2024-09-11,383,0.79,0.58,0.738,6.1,-5.75,50.2,17,136,68.4,57.5,20.47,-26.35,0.78,0.16,-0.16,44.53,340.88,-294.25,10,20,26.9,99.1,0.9,35.2,24,115,1298.12,11082.78,203.01,11285.79,1,4.07,18.31,0,0,0,6,8.57,-4.26,0,799,4,0,6,2,21,0,0,19,1,0,0,0,0,0,0,2,0,5,11,6,11,28,3,31,1,0,0,0,0,3,2,0,0,1,0,0,21,76.2,35.77,1.7,19,0.0,-306.34,-16.12,0,0,0,0,5,100.0,112.25,22.45,11,72.7,10.66,0.97,6,100.0,176.84,29.47,11,72.7,6.21,0.56,28,82.1,927.01,33.11,3,0.0,-299.59,-99.86,31,83.9,611.42,19.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,23.89,23.89
1.3,47.3,C-一般,全天候/牛市可/震荡优,154.7,10.9,15.2,8.5,7.7,5,017057,嘉实国证绿色电力ETF发起联接C,电力,2022-12-07 ~ 2026-06-30,864,11.57,3.25,7.48,2.13,4.09,8.94,15.15,2023-05-29,2024-01-22,393,0.51,0.36,0.697,6.43,-5.91,51.0,16,115,68.7,51.2,19.68,-20.73,0.95,0.08,-7.6,19.34,324.78,-80.77,13,20,42.7,99.4,0.6,37.9,33,92,1160.56,11120.14,37.34,11157.48,1,10.29,13.53,0,0,0,7,1.4,-5.01,0,859,5,0,7,0,2,0,0,17,0,0,0,0,2,0,0,2,0,5,4,8,17,23,2,33,2,0,0,0,0,2,1,0,0,4,0,0,2,100.0,16.29,8.14,17,0.0,-317.98,-18.7,0,0,0,0,5,100.0,6.94,1.39,4,50.0,0.67,0.17,8,87.5,666.61,83.33,17,82.4,3.96,0.23,23,78.3,49.91,2.17,2,0.0,-75.9,-37.95,33,81.8,793.43,24.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,100.0,16.63,4.16
1.25,45.6,C-一般,牛市可,100.0,8.9,17.5,6.9,7.3,5,018035,国泰国证绿色电力ETF发起联接C,电力,2023-04-11 ~ 2026-06-30,781,7.0,2.21,4.64,1.47,2.36,7.48,15.0,2023-05-29,2024-01-22,477,0.37,0.3,0.689,6.32,-5.62,50.6,16,134,71.6,48.7,14.07,-34.97,0.4,0.09,-4.72,21.98,320.41,-249.08,9,24,34.3,98.3,1.7,26.2,15,118,721.59,10405.92,294.51,10700.43,1,10.65,13.9,0,0,0,6,-3.22,-7.98,0,776,5,0,5,1,13,0,0,16,2,0,1,0,1,0,0,1,0,22,7,3,3,40,2,25,1,0,0,0,0,2,1,0,0,3,0,1,13,76.9,250.96,19.3,16,0.0,-233.16,-14.57,0,0,0,0,22,100.0,98.63,4.48,7,100.0,6.21,0.89,3,100.0,622.19,207.4,3,100.0,0.48,0.16,40,70.0,229.26,5.73,2,0.0,-396.31,-198.16,25,80.0,130.74,5.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100.0,12.59,4.2
0.9,42.5,C-一般,全天候/牛市可/震荡优,100.0,7.3,18.5,4.7,7.0,5,016186,广发电力ETF联接C,电力,2022-08-19 ~ 2026-06-30,936,7.27,1.91,4.86,1.28,2.41,7.81,16.96,2024-07-09,2024-09-11,398,0.38,0.24,0.775,5.91,-5.7,49.9,24,181,56.4,46.8,16.4,-16.26,1.01,0.02,-11.31,17.34,463.04,-158.26,17,20,23.5,99.0,1.0,18.0,8,52,729.47,10642.94,84.07,10727.01,1,4.62,18.6,0,0,0,7,3.25,-11.04,0,932,4,0,9,1,16,0,0,52,2,0,1,0,1,0,2,1,0,7,2,4,1,56,9,27,2,0,0,0,0,3,1,1,0,7,0,0,16,75.0,209.4,13.09,52,0.0,-728.98,-14.02,0,0,0,0,7,100.0,19.5,2.79,2,100.0,4.94,2.47,4,100.0,277.06,69.27,1,0.0,0.0,0.0,56,85.7,1015.37,18.13,9,0.0,-214.33,-23.81,27,81.5,108.68,4.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,100.0,37.83,5.4
1.1,52.52,,,100.88,14.92,17.92,6.94,8.74,4.0,---,【电力】平均,电力,,,8.65,2.54,7.9,2.35,0.76,6.21,12.83,,,337.0,1.71,1.92,0.58,5.04,-4.62,43.32,14.8,113.2,53.02,58.28,14.12,-19.66,0.72,0.07,-4.76,20.64,289.82,-156.47,9.8,16.8,34.64,98.86,1.14,23.46,16.0,75.4,781.95,,,10865.43,0.8,5.93,12.87,0.0,0.0,0.0,6.6,2.9,-3.68,0.0,5.4,0.8,10.4,0.0,0.0,20.8,1.0,0.0,0.4,0.0,0.8,0.0,0.4,1.2,0.0,7.8,4.8,4.2,6.4,29.4,3.2,23.2,1.4,0.0,0.0,0.0,0.0,2.0,1.0,0.2,0.0,3.0,0.0,0.2,10.4,76.9,102.48,9.85,20.8,0.0,-317.29,-15.25,0.0,0.0,0.0,0.0,7.8,100.0,47.46,6.09,4.8,79.2,4.5,0.94,4.2,95.2,348.54,82.99,6.4,78.1,2.13,0.33,29.4,79.6,444.31,15.11,3.2,0.0,-197.23,-61.63,23.2,81.9,328.85,14.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,100.0,18.19,6.06
0.95,60.1,B-良好,全天候/熊市优/震荡优,190.4,15.8,25,2.8,6.5,10,004041,金鹰医疗健康产业C,创新药,2020-05-27 ~ 2026-06-30,1480,32.23,4.87,-35.67,-7.24,67.9,9.22,70.41,2020-07-13,2023-09-07,1027,0.63,0.53,1.505,13.03,-11.43,49.8,43,307,47.6,43.2,30.63,-9.21,3.33,0.0,-11.64,22.57,496.45,-180.63,26,18,14.2,97.6,2.4,19.7,18,81,3153.93,12547.51,675.19,13222.7,4,15.6,74.38,4,-8.26,-86.93,5,21.84,-11.8,0,1401,79,0,16,3,45,0,1,106,1,0,0,1,1,1,4,3,0,20,11,7,4,34,28,23,2,2,0,0,1,7,2,0,7,19,0,1,45,84.4,660.92,14.69,106,0.0,-714.39,-6.74,0,0,0,0,20,90.0,229.19,11.46,11,100.0,519.36,47.21,7,100.0,571.93,81.7,4,100.0,30.69,7.67,34,91.2,1635.23,48.09,28,0.0,-582.42,-20.8,23,87.0,372.2,16.18,2,0.0,-1.73,-0.86,0,0,0,0,0,0,0,0,1,0.0,-0.99,-0.99,7,0.0,-18.0,-2.57,19,89.5,451.94,23.79
1.3,52.7,C-一般,全天候/熊市优/震荡优,132.8,7.4,25,3.2,7.1,10,012782,银华中证创新药产业ETF发起式联接C,创新药,2022-02-10 ~ 2026-06-30,1066,6.75,1.56,-20.59,-5.3,27.34,6.31,50.56,2025-09-25,2026-06-08,410,0.32,0.25,1.172,10.12,-8.01,48.1,31,225,50.2,47.2,13.75,-11.63,1.18,0.01,-11.28,19.17,225.12,-104.6,40,12,15.8,99.1,0.9,24.0,27,76,599.5,7899.15,2775.76,10674.91,2,3.67,28.66,3,-0.66,-47.28,4,3.72,2.87,0,1044,22,0,15,2,12,0,0,65,0,0,0,1,2,0,2,2,0,6,13,5,4,42,11,55,2,0,0,0,0,4,1,0,6,6,0,0,12,75.0,159.31,13.28,65,0.0,-684.77,-10.53,0,0,0,0,6,100.0,76.02,12.67,13,84.6,117.62,9.05,5,80.0,188.84,37.77,4,100.0,10.85,2.71,42,69.0,218.22,5.2,11,0.0,-103.18,-9.38,55,80.0,664.38,12.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,-166.05,-27.68,6,100.0,118.26,19.71
0.95,49.3,C-一般,全天候/熊市优/震荡优,183.5,5.8,23.5,4.5,5.5,10,003231,创金合信医疗保健股票C,创新药,2020-05-27 ~ 2026-06-30,1480,20.59,3.24,-24.65,-4.7,45.24,16.78,64.92,2021-07-01,2024-09-23,907,0.37,0.19,1.416,11.5,-7.78,48.4,57,326,59.8,36.5,23.73,-22.5,1.05,0.02,-21.45,26.24,1147.24,-421.78,27,43,22.5,97.2,2.8,17.7,17,55,2061.1,11965.08,94.13,12059.21,3,23.95,71.79,6,-12.08,-87.28,4,8.88,3.08,0,1414,66,0,24,2,17,0,0,81,3,0,0,0,7,0,6,2,1,16,30,20,15,88,26,16,3,0,0,0,0,5,4,0,4,12,0,1,17,88.2,421.56,24.8,81,0.0,-1117.46,-13.8,1,100.0,4.13,4.13,16,100.0,275.97,17.25,30,83.3,72.34,2.41,20,95.0,2975.77,148.79,15,100.0,36.05,2.4,88,90.9,584.74,6.64,26,0.0,-1367.19,-52.58,16,87.5,157.27,9.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,-80.81,-20.2,12,83.3,98.73,8.23
1.3,45.2,C-一般,熊市优,109.9,1.6,25,2.6,6.0,10,010091,中信建投医药健康C,创新药,2020-12-11 ~ 2026-06-30,1346,3.4,0.63,-34.38,-7.59,37.78,11.72,64.0,2021-01-25,2022-04-25,895,0.12,0.05,1.493,12.78,-12.5,48.7,36,312,37.2,40.3,21.34,-12.33,1.73,-0.04,-17.56,5.41,331.9,-194.92,35,21,12.8,98.7,1.3,16.8,7,46,329.27,9923.63,416.24,10339.87,2,15.12,70.61,5,-4.54,-85.01,5,-6.17,-7.92,0,1270,76,1,22,2,32,0,0,150,0,0,1,0,0,0,0,3,3,29,9,5,4,20,21,27,2,0,0,0,0,4,1,0,7,5,0,0,32,93.8,477.06,14.91,150,0.0,-1663.25,-11.09,3,100.0,29.13,9.71,29,79.3,79.41,2.74,9,77.8,24.43,2.71,5,80.0,630.66,126.13,4,100.0,1.37,0.34,20,85.0,348.72,17.44,21,0.0,-398.35,-18.97,27,85.2,620.42,22.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.0,-84.26,-12.04,5,100.0,263.93,52.79
